Plot Name,Plot Number,Artificial Cover Object Number ,Year,Date,Time,Survey Number,Eastern Redback Salamander Count,Redback form of Eastern Redback Salamander Count,Leadback form of Eastern Redback Salamander Count,Artificial Cover Object Age (year(s)),Observer Names,Precipitation in the Last 24 hours (mm),Air Temperature (°C),Soil Temperature (°C)                   ,Beaufort Sky Class,Beaufort Wind Class,Soil Moisture,Soil pH
Cameron Lake Dunes,01 01,34,2004,12-May-04,1:20PM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,21.3,N/A,0,2,N/A,6.8
Cameron Lake Dunes,01 01,35,2004,12-May-04,1:20PM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,21.3,N/A,0,2,N/A,6.8
Cameron Lake Dunes,01 01,36,2004,12-May-04,1:20PM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,21.3,N/A,0,2,N/A,6.8
Cameron Lake Dunes,01 01,37,2004,12-May-04,1:20PM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,21.3,N/A,0,2,N/A,6.8
Cameron Lake Dunes,01 01,38,2004,12-May-04,1:20PM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,21.3,N/A,0,2,N/A,6.8
Cameron Lake Dunes,01 01,39,2004,12-May-04,1:20PM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,21.3,N/A,0,2,N/A,6.8
Cameron Lake Dunes,01 01,40,2004,12-May-04,1:20PM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,21.3,N/A,0,2,N/A,6.8
Emmett Lake,01 02,1,2004,13-May-04,12:30PM,1,2,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02 ,2,2004,13-May-04,12:30PM,1,2,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02,3,2004,13-May-04,12:30PM,1,2,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02,4,2004,13-May-04,12:30PM,1,0,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02,5,2004,13-May-04,12:30PM,1,0,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02 ,6,2004,13-May-04,12:30PM,1,1,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02,7,2004,13-May-04,12:30PM,1,1,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02,8,2004,13-May-04,12:30PM,1,1,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02,9,2004,13-May-04,12:30PM,1,0,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02 ,10,2004,13-May-04,12:30PM,1,0,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02,11,2004,13-May-04,12:30PM,1,0,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02,12,2004,13-May-04,12:30PM,1,0,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02,13,2004,13-May-04,12:30PM,1,0,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02 ,14,2004,13-May-04,12:30PM,1,0,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02,15,2004,13-May-04,12:30PM,1,0,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02,16,2004,13-May-04,12:30PM,1,0,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02,17,2004,13-May-04,12:30PM,1,2,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02 ,18,2004,13-May-04,12:30PM,1,0,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02,19,2004,13-May-04,12:30PM,1,0,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02,20,2004,13-May-04,12:30PM,1,3,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02,21,2004,13-May-04,12:30PM,1,0,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02 ,22,2004,13-May-04,12:30PM,1,0,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02,23,2004,13-May-04,12:30PM,1,0,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02,24,2004,13-May-04,12:30PM,1,2,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02,25,2004,13-May-04,12:30PM,1,0,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02 ,26,2004,13-May-04,12:30PM,1,0,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02,27,2004,13-May-04,12:30PM,1,1,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02,28,2004,13-May-04,12:30PM,1,0,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02,29,2004,13-May-04,12:30PM,1,1,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02 ,30,2004,13-May-04,12:30PM,1,0,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02,31,2004,13-May-04,12:30PM,1,0,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02,32,2004,13-May-04,12:30PM,1,1,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02,33,2004,13-May-04,12:30PM,1,1,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02 ,34,2004,13-May-04,12:30PM,1,2,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02,35,2004,13-May-04,12:30PM,1,1,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02,36,2004,13-May-04,12:30PM,1,1,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02,37,2004,13-May-04,12:30PM,1,0,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02 ,38,2004,13-May-04,12:30PM,1,0,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02,39,2004,13-May-04,12:30PM,1,0,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
Emmett Lake,01 02,40,2004,13-May-04,12:30PM,1,1,N/A,N/A,<1,"Brianna, Brad",0,25.1,N/A,1,0,N/A,7
South Cameron Lake,01 07,1,2004,13-May-04,10:00AM,1,1,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,2,2004,13-May-04,10:00AM,1,1,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,3,2004,13-May-04,10:00AM,1,0,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,4,2004,13-May-04,10:00AM,1,1,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,5,2004,13-May-04,10:00AM,1,0,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,6,2004,13-May-04,10:00AM,1,1,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,7,2004,13-May-04,10:00AM,1,1,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,8,2004,13-May-04,10:00AM,1,0,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,9,2004,13-May-04,10:00AM,1,0,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,10,2004,13-May-04,10:00AM,1,0,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,11,2004,13-May-04,10:00AM,1,0,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,12,2004,13-May-04,10:00AM,1,0,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,13,2004,13-May-04,10:00AM,1,1,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,14,2004,13-May-04,10:00AM,1,0,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,15,2004,13-May-04,10:00AM,1,1,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,16,2004,13-May-04,10:00AM,1,0,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,17,2004,13-May-04,10:00AM,1,0,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,18,2004,13-May-04,10:00AM,1,0,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,19,2004,13-May-04,10:00AM,1,0,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,20,2004,13-May-04,10:00AM,1,0,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,21,2004,13-May-04,10:00AM,1,0,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,22,2004,13-May-04,10:00AM,1,0,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,23,2004,13-May-04,10:00AM,1,0,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,24,2004,13-May-04,10:00AM,1,3,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,25,2004,13-May-04,10:00AM,1,0,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,26,2004,13-May-04,10:00AM,1,0,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,27,2004,13-May-04,10:00AM,1,0,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,28,2004,13-May-04,10:00AM,1,1,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,29,2004,13-May-04,10:00AM,1,0,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,30,2004,13-May-04,10:00AM,1,0,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,31,2004,13-May-04,10:00AM,1,0,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,32,2004,13-May-04,10:00AM,1,1,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,33,2004,13-May-04,10:00AM,1,0,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,34,2004,13-May-04,10:00AM,1,0,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,35,2004,13-May-04,10:00AM,1,0,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,36,2004,13-May-04,10:00AM,1,0,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,37,2004,13-May-04,10:00AM,1,0,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,38,2004,13-May-04,10:00AM,1,0,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,39,2004,13-May-04,10:00AM,1,0,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
South Cameron Lake,01 07,40,2004,13-May-04,10:00AM,1,0,N/A,N/A,<1,"Brianna, Brad",0,19.5,N/A,0,1,N/A,7
Pendall Point,01 08,1,2004,12-May-04,9:45AM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,2,2004,12-May-04,9:45AM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,3,2004,12-May-04,9:45AM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,4,2004,12-May-04,9:45AM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,5,2004,12-May-04,9:45AM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,6,2004,12-May-04,9:45AM,1,1,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,7,2004,12-May-04,9:45AM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,8,2004,12-May-04,9:45AM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,9,2004,12-May-04,9:45AM,1,2,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,10,2004,12-May-04,9:45AM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,11,2004,12-May-04,9:45AM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,12,2004,12-May-04,9:45AM,1,1,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,13,2004,12-May-04,9:45AM,1,3,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,14,2004,12-May-04,9:45AM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,15,2004,12-May-04,9:45AM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,16,2004,12-May-04,9:45AM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,17,2004,12-May-04,9:45AM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,18,2004,12-May-04,9:45AM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,19,2004,12-May-04,9:45AM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,20,2004,12-May-04,9:45AM,1,2,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,21,2004,12-May-04,9:45AM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,22,2004,12-May-04,9:45AM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,23,2004,12-May-04,9:45AM,1,2,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,24,2004,12-May-04,9:45AM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,25,2004,12-May-04,9:45AM,1,1,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,26,2004,12-May-04,9:45AM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,27,2004,12-May-04,9:45AM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,28,2004,12-May-04,9:45AM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,29,2004,12-May-04,9:45AM,1,1,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,30,2004,12-May-04,9:45AM,1,1,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,31,2004,12-May-04,9:45AM,1,1,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,32,2004,12-May-04,9:45AM,1,1,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,33,2004,12-May-04,9:45AM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,34,2004,12-May-04,9:45AM,1,1,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,35,2004,12-May-04,9:45AM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,36,2004,12-May-04,9:45AM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,37,2004,12-May-04,9:45AM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,38,2004,12-May-04,9:45AM,1,1,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,39,2004,12-May-04,9:45AM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,40,2004,12-May-04,9:45AM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,15.1,N/A,1,1,N/A,7
Pendall Point,01 08,1,2004,18-May-04,10:35AM,2,0,N/A,N/A,<1,"Brad, Interps",20,N/A,N/A,1,0,N/A,N/A
Pendall Point,01 08,2,2004,18-May-04,10:35AM,2,0,N/A,N/A,<1,"Brad, Interps",20,N/A,N/A,1,0,N/A,N/A
Pendall Point,01 08,3,2004,18-May-04,10:35AM,2,0,N/A,N/A,<1,"Brad, Interps",20,N/A,N/A,1,0,N/A,N/A
Pendall Point,01 08,4,2004,18-May-04,10:35AM,2,1,N/A,N/A,<1,"Brad, Interps",20,N/A,N/A,1,0,N/A,N/A
Pendall Point,01 08,5,2004,18-May-04,10:35AM,2,0,N/A,N/A,<1,"Brad, Interps",20,N/A,N/A,1,0,N/A,N/A
Pendall Point,01 08,6,2004,18-May-04,10:35AM,2,0,N/A,N/A,<1,"Brad, Interps",20,N/A,N/A,1,0,N/A,N/A
Pendall Point,01 08,7,2004,18-May-04,10:35AM,2,1,N/A,N/A,<1,"Brad, Interps",20,N/A,N/A,1,0,N/A,N/A
Pendall Point,01 08,8,2004,18-May-04,10:35AM,2,1,N/A,N/A,<1,"Brad, Interps",20,N/A,N/A,1,0,N/A,N/A
Pendall Point,01 08,9,2004,18-May-04,10:35AM,2,1,N/A,N/A,<1,"Brad, Interps",20,N/A,N/A,1,0,N/A,N/A
Pendall Point,01 08,10,2004,18-May-04,10:35AM,2,0,N/A,N/A,<1,"Brad, Interps",20,N/A,N/A,1,0,N/A,N/A
Pendall Point,01 08,11,2004,18-May-04,10:35AM,2,0,N/A,N/A,<1,"Brad, Interps",20,N/A,N/A,1,0,N/A,N/A
Pendall Point,01 08,12,2004,18-May-04,10:35AM,2,1,N/A,N/A,<1,"Brad, Interps",20,N/A,N/A,1,0,N/A,N/A
Pendall Point,01 08,13,2004,18-May-04,10:35AM,2,0,N/A,N/A,<1,"Brad, Interps",20,N/A,N/A,1,0,N/A,N/A
Pendall Point,01 08,14,2004,18-May-04,10:35AM,2,0,N/A,N/A,<1,"Brad, Interps",20,N/A,N/A,1,0,N/A,N/A
Pendall Point,01 08,15,2004,18-May-04,10:35AM,2,0,N/A,N/A,<1,"Brad, Interps",20,N/A,N/A,1,0,N/A,N/A
Pendall Point,01 08,16,2004,18-May-04,10:35AM,2,0,N/A,N/A,<1,"Brad, Interps",20,N/A,N/A,1,0,N/A,N/A
Pendall Point,01 08,17,2004,18-May-04,10:35AM,2,0,N/A,N/A,<1,"Brad, Interps",20,N/A,N/A,1,0,N/A,N/A
Pendall Point,01 08,18,2004,18-May-04,10:35AM,2,0,N/A,N/A,<1,"Brad, Interps",20,N/A,N/A,1,0,N/A,N/A
